M/Z,Intensity
71.782107,7.2875817
71.955831,7.1993464
72.129777,7.2189542
72.303944,7.2679739
72.478333,7.2091503
72.652944,7.2156863
72.827776,7.1764706
73.002829,7.1601307
73.178105,7.1601307
73.353601,7.1830065
73.52932,7.2385621
73.70526,7.2352941
73.881421,7.2287582
74.057804,7.2320261
74.234409,7.2287582
74.411235,7.1895425
74.588283,7.1470588
74.765552,7.1928105
74.943043,7.1928105
75.120755,7.2091503
75.298689,7.2156863
75.476845,7.2222222
75.655222,7.2189542
75.83382,7.1797386
76.012641,7.2614379
76.191682,7.3267974
76.370946,7.2418301
76.550431,7.2222222
76.730137,7.2222222
76.910065,7.2189542
77.090215,7.2352941
77.270586,7.3104575
77.451179,7.2124183
77.631993,7.1993464
77.813029,7.2026144
77.994286,7.3464052
78.175765,7.3660131
78.357466,7.2973856
78.539388,7.3431373
78.721532,7.4019608
78.903897,7.4738554
79.086484,7.2973864
79.269292,7.5522868
79.452322,7.5718954
79.635574,7.5816985
79.819047,7.3660139
80.002742,7.7091495
80.186658,7.5816993
80.370796,7.5849673
80.555155,7.5947712
80.739736,7.5457516
80.924538,7.5228766
81.109563,7.7549012
81.294808,7.6568635
81.480275,7.7908489
81.665964,7.6078439
81.851874,7.6862737
82.038006,7.5620915
82.22436,7.5980392
82.410935,7.6176471
82.597731,7.6143791
82.784749,7.5882353
82.971989,7.6568627
83.15945,7.5882369
83.347133,8.0882337
83.535038,7.8267974
83.723164,7.6960792
83.911511,7.754902
84.10008,7.7647059
84.288871,7.7647059
84.477883,7.7712418
84.667117,7.6209158
84.856572,7.6339869
85.046249,7.7810458
85.236148,7.7777778
85.426268,7.8202614
85.616609,7.7973856
85.807172,7.7875825
85.997957,8.1503252
86.188964,7.846406
86.380191,7.8627443
86.571641,7.718955
86.763312,7.9803914
86.955204,7.9542476
87.147319,7.7320261
87.339654,7.5522884
87.532211,7.7026144
87.72499,7.7614379
87.917991,7.9444436
88.111213,7.8921569
88.304656,7.8562092
88.498321,7.7843137
88.692208,7.601308
88.886316,7.6895425
89.080646,7.6666667
89.275197,7.5294126
89.46997,7.624183
89.664965,7.627451
89.860181,7.6732026
90.055618,7.7647059
90.251277,7.7254902
90.447158,7.7875817
90.64326,7.7581699
90.839584,7.6928105
91.03613,7.604576
91.232897,7.7058824
91.429885,7.7875809
91.627095,7.7156871
91.824527,7.8039216
92.02218,7.7875817
92.220055,7.754902
92.418152,7.8071887
92.61647,7.6797394
92.815009,7.7287574
93.01377,7.6209158
93.212753,7.6405229
93.411957,7.6960784
93.611383,7.6928105
93.81103,7.7091495
94.010899,7.5882369
94.210989,7.8660115
94.411301,7.754902
94.611835,7.7091503
94.81259,7.7156871
95.013567,7.905228
95.214765,7.8267966
95.416185,7.5751642
95.617827,7.627451
95.81969,7.624183
96.021774,7.6078431
96.22408,7.5915033
96.426608,7.5392173
96.629357,7.8365997
96.832328,7.6633987
97.03552,7.5326805
97.238934,7.6176471
97.44257,7.7908489
97.646427,7.7483652
97.850506,7.594772
98.054806,7.5849673
98.259327,7.5457516
98.464071,7.5947712
98.669036,7.7189542
98.874222,7.8202606
99.07963,7.7777786
99.28526,7.9150311
99.491111,7.601308
99.697184,7.5294126
99.903478,7.6699338
100.10999,7.6503268
100.31673,7.6830065
100.52369,7.6797378
100.73087,7.4934656
100.93827,7.5947712
101.1459,7.6568627
101.35374,7.7581699
101.56181,7.8300646
101.7701,7.7450996
101.97861,7.9575147
102.18734,7.8496748
102.39629,8.0130711
102.60547,7.9967336
102.81486,8.2908473
103.02448,8.0032704
103.23432,8.2483652
103.44438,8.3006544
103.65466,8.4640523
103.86517,8.5915033
104.07589,8.7124191
104.28684,9.0849665
104.49801,9.3692795
104.7094,9.2647059
104.92101,9.2124191
105.13284,9.3758162
105.3449,9.3954256
105.55718,9.5424845
105.76967,9.8169951
105.98239,10.336597
106.19533,9.9085015
106.4085,10.460781
106.62188,10.346405
106.83549,10.232026
107.04931,10.124185
107.26336,10.3366
107.47763,10.290854
107.69213,10.960779
107.90684,10.549022
108.12178,10.660131
108.33693,10.73856
108.55231,10.431378
108.76791,11.098034
108.98373,10.689546
109.19978,10.89869
109.41604,10.696081
109.63253,10.921568
109.84923,11.039216
