M/Z,Intensity
81.294808,8.0588227
81.480275,7.9934641
81.665964,7.9411773
81.851874,8.0653595
82.038006,8.0686267
82.22436,7.8725498
82.410935,7.9379093
82.597731,8.2091495
82.784749,7.9967328
82.971989,8.1078431
83.15945,8.0915033
83.347133,7.9346413
83.535038,8.0653595
83.723164,8.2679731
83.911511,8.2254902
84.10008,8.1993464
84.288871,8.3202606
84.477883,8.1633995
84.667117,8.251634
84.856572,8.2287574
85.046249,8.0098047
85.236148,8.2091503
85.426268,8.4738554
85.616609,8.3758162
85.807172,8.0130735
85.997957,8.2549004
86.188964,7.950982
86.380191,8.3398685
86.571641,8.3856209
86.763312,8.5065351
86.955204,8.2058832
87.147319,8.3071895
87.339654,8.3333325
87.532211,8.2124191
87.72499,8.4575155
87.917991,8.4999992
88.111213,8.3071903
88.304656,8.3039216
88.498321,8.3137255
88.692208,8.3464052
88.886316,8.431371
89.080646,8.101308
89.275197,7.9901969
89.46997,8.2189535
89.664965,8.0784314
89.860181,7.9346413
90.055618,8.0882353
90.251277,8.3267966
90.447158,8.2581691
90.64326,8.0065375
90.839584,8.2516324
91.03613,8.0228774
91.232897,8.277777
91.429885,8.2091503
91.627095,8.0849681
91.824527,8.153594
92.02218,8.0718962
92.220055,8.1405221
92.418152,8.0294118
92.61647,7.980393
92.815009,8.1143791
93.01377,8.2777762
93.212753,7.9346421
93.411957,8.0163399
93.611383,8.1176463
93.81103,8.0947704
94.010899,7.9150343
94.210989,8.1372541
94.411301,8.1437908
94.611835,8.2026144
94.81259,8.222223
95.013567,8.4411741
95.214765,8.0620931
95.416185,8.1176471
95.617827,8.0947712
95.81969,8.1797386
96.021774,8.1862753
96.22408,8.3464036
96.426608,8.0392165
96.629357,8.0098047
96.832328,8.1143783
97.03552,8.0457524
97.238934,8.0849673
97.44257,8.127451
97.646427,8.1666659
97.850506,7.9542492
98.054806,8.0457508
98.259327,8.0196078
98.464071,8.0163407
98.669036,8.1666659
98.874222,8.0228766
99.07963,7.996732
99.28526,8.0424837
99.491111,8.0098039
99.697184,7.9084975
99.903478,7.9836601
100.10999,7.9771242
100.31673,7.977125
100.52369,8.1274502
100.73087,8.0392157
100.93827,7.9836609
101.1459,8.1666667
101.35374,8.2712426
101.56181,8.5588203
101.7701,8.1666699
101.97861,8.4444436
102.18734,8.5751626
102.39629,8.4836601
102.60547,8.4803938
102.81486,8.8758162
103.02448,9.1666683
103.23432,9.7254846
103.44438,9.1241894
103.65466,9.8202582
103.86517,9.7875849
104.07589,10.477121
104.28684,10.539219
104.49801,11.339862
104.7094,10.637259
104.92101,10.715686
105.13284,10.774511
105.3449,11.111111
105.55718,11.372547
105.76967,11.111114
105.98239,11.267977
106.19533,12.045748
106.4085,12.117644
106.62188,11.480401
106.83549,12.57189
107.04931,12.604572
107.26336,12.009806
107.47763,11.898697
107.69213,12.535944
107.90684,12.460783
108.12178,12.016346
108.33693,12.741829
108.55231,13.339864
108.76791,13.022877
108.98373,13.022876
109.19978,12.980394
109.41604,13.205879
109.63253,12.803922
109.84923,12.352947
110.06616,12.849671
110.28332,12.882352
110.50069,12.784315
110.71828,13.019609
110.9361,13.578427
111.15413,13.202614
111.37239,12.803922
111.59087,12.516344
111.80958,12.944446
112.0285,13.666662
112.24764,13.666663
112.46701,13.153596
112.6866,12.872552
112.90641,13.08496
113.12644,12.068636
113.34669,12.558824
113.56717,13.026143
113.78786,13.375814
114.00878,13.235293
114.22992,12.999998
114.45128,12.529415
114.67286,12.598037
114.89467,12.330071
115.11669,12.882347
115.33894,12.565362
115.56141,12.598039
115.7841,12.669935
116.00701,12.908495
116.23014,12.879082
116.4535,12.34968
116.67707,12.950975
116.90087,12.758172
117.12489,12.77778
117.34913,13.14052
117.5736,13.160133
117.79828,13.486922
118.02318,12.977133
118.24831,13.725482
118.47366,13.395425
118.69923,12.954253
